"B","E","F","G","H","I","J","K","L","M","N","O","P","DD","MM","OO","PP","QQ","RR","SS","TT","UU","VV","YY","AAA","BBB","CCC","DDD","EEE","FFF","HHH","LLL"
"500-1000","Yes","I am not sure","No","No","Yes","Very easy","No","No","No","No","Yes","No","I don't know","Maybe","No, I don't think it would","No, I don't think they would","Somewhat not open","No Entry","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Germany","Germany","Sometimes"
"500-1000","Yes","Yes","I don't know","I don't know","Yes","Very easy","No","No","Yes","Yes","Yes","No","Yes, always","Maybe","Maybe","No, I don't think they would","Very open","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","36-45","F","United States of America","United States of America","Always"
"More than 1000","Yes","Yes","Yes","Yes","No","Very difficult","Yes","No","Maybe","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Never","Sometimes","45<","M","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","Yes, always","Yes","Maybe","No, I don't think they would","Very open","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"100-500","No","No","No","I don't know","I don't know","Very easy","Maybe","No","No","No","I don't know","No","No","Yes","Yes, I think it would","Yes, I think they would","Somewhat not open","Yes, I observed","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Russia","Russia","Never"
"100-500","No","No","No","No","I don't know","Very easy","Maybe","No","Maybe","Maybe","I don't know","No","Not Applicable","Yes","Maybe","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Germany","Germany","Sometimes"
"100-500","Not eligible for coverage / N/A","I am not sure","Yes","No","I don't know","Neither easy nor difficult","Yes","Maybe","No","No","Yes","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","I don't know","Maybe","Maybe","No","True","Rarely","Often","25-35","M","Germany","Germany","Never"
"6-25","I don't know","No","No","I don't know","I don't know","Somewhat easy","Maybe","No","Yes","Maybe","No","No","No","Maybe","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","Yes","No","No","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"500-1000","I don't know","I am not sure","No","I don't know","I don't know","Very easy","No","No","No","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Germany","Germany","Always"
"6-25","I don't know","I am not sure","No","I don't know","I don't know","Neither easy nor difficult","Maybe","Maybe","Maybe","Maybe","I don't know","No","Yes, always","Maybe","Maybe","Maybe","Neutral","No","No Entry","I don't know","Maybe","Maybe","Yes","True","Sometimes","Sometimes","36-45","F","United States of America","United States of America","Sometimes"
"More than 1000","Not eligible for coverage / N/A","No Entry","Yes","Yes","Yes","Very easy","Yes","No","Maybe","Maybe","Yes","No","I don't know","No","Yes, it has","No, I don't think they would","Somewhat open","Yes, I experienced","No Entry","No","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United Kingdom","United Kingdom","Sometimes"
"6-25","No","No Entry","No","No","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","No","No, it has not","Maybe","Somewhat open","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Always"
"More than 1000","No","I am not sure","No","I don't know","I don't know","Somewhat difficult","Maybe","Maybe","No","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","No Entry","No Entry","No","Maybe","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Never"
"500-1000","Yes","Yes","No","Yes","I don't know","I don't know","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","Maybe/Not sure","No Entry","Yes","Yes","Yes","Yes","True","Often","Often","25-35","M","United States of America","United States of America","Never"
"More than 1000","Yes","Yes","Yes","Yes","Yes","Very difficult","Maybe","Maybe","No","Maybe","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United Arab Emirates","Sometimes"
"500-1000","Yes","I am not sure","No","Yes","I don't know","I don't know","Maybe","No","No","No","I don't know","Yes","No","No","Yes, it has","Yes, they do","Not open at all","Yes, I experienced","Yes","I don't know","Yes","Yes","Yes","True","Never","Sometimes","36-45","F","Canada","Canada","Always"
"26-100","Yes","Yes","Yes","Yes","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","Yes","No","Yes","Neither easy nor difficult","Maybe","Maybe","Maybe","Maybe","No","Yes","Sometimes","No","Yes, it has","Yes, they do","Somewhat not open","Yes, I experienced","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"1-5","No","Yes","Yes","No","No","Somewhat easy","No","No","Yes","Yes","No","No","I don't know","Maybe","Yes, I think it would","No, I don't think they would","Very open","No","No Entry","Yes","No","No","No","False","Never","Sometimes","36-45","M","Mexico","Mexico","Sometimes"
"26-100","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Maybe","Maybe","Yes","Yes","I don't know","Maybe","Maybe","Maybe","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Maybe","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Never"
"26-100","Yes","I am not sure","I don't know","I don't know","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","Yes, always","No","Maybe","Maybe","Somewhat open","No","No Entry","No","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United States of America","United States of America","Sometimes"
"500-1000","Yes","Yes","No","I don't know","I don't know","Neither easy nor difficult","Maybe","No","Maybe","No","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat not open","Maybe/Not sure","No","Yes","Maybe","Maybe","Yes","True","Sometimes","Often","36-45","F","United States of America","United States of America","Sometimes"
"26-100","Yes","I am not sure","No","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","Sometimes","No","No, I don't think it would","No, I don't think they would","Very open","No","No Entry","Yes","Yes","Maybe","No","True","Never","Often","25-35","M","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","I don't know","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","Sometimes","No","No, I don't think it would","No, I don't think they would","Somewhat open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Rarely","Often",">25","M","United States of America","United States of America","Sometimes"
"26-100","Yes","No","Yes","Yes","Yes","Neither easy nor difficult","No","No","Maybe","Yes","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","Yes","Yes","Yes","Neither easy nor difficult","Maybe","Maybe","Maybe","Maybe","Yes","Yes","I don't know","No","Yes, I think it would","Maybe","Very open","Yes, I observed","Maybe","No","No","No","No","True","Sometimes","Not applicable to me","36-45","M","Canada","Canada","Sometimes"
"More than 1000","Yes","Yes","No","Yes","I don't know","Neither easy nor difficult","Maybe","No","Maybe","Yes","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","Yes, I experienced","Maybe","Yes","Yes","Yes","Yes","True","Never","Often","36-45","F","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","Yes","Yes","I don't know","Somewhat difficult","Yes","Maybe","Maybe","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Very open","Maybe/Not sure","No","No","Maybe","Maybe","No","False","Not applicable to me","Sometimes","25-35","M","United States of America","United States of America","Always"
"26-100","I don't know","No","No","No","I don't know","Somewhat easy","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","Yes","No","Maybe","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United Kingdom","United Kingdom","Never"
"26-100","Yes","I am not sure","Yes","I don't know","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","No","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","Yes, I experienced","No","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","I don't know","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","Yes, always","Maybe","Maybe","No, I don't think they would","Somewhat open","Maybe/Not sure","No","Yes","No","No","No","True","Sometimes","Often","25-35","F","United States of America","United States of America","Sometimes"
"100-500","No","No","No","No","I don't know","Very difficult","Yes","Maybe","No","No","No","Yes","I don't know","No","Yes, it has","No, I don't think they would","Somewhat not open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Often","Often","25-35","F","United Kingdom","United Kingdom","Sometimes"
"26-100","Yes","Yes","No","Yes","Yes","Somewhat easy","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat not open","Yes, I observed","Yes","No","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Sometimes"
"6-25","I don't know","Yes","No","No","I don't know","Somewhat easy","No","No","No","Maybe","Yes","Yes","Yes, always","Maybe","Maybe","No, I don't think they would","Somewhat not open","No","No Entry","Yes","Yes","Yes","Yes","True","Never","Often","25-35","M","Germany","Germany","Always"
"26-100","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","I don't know","Yes","Maybe","No, I don't think they would","Very open","No","No Entry","Yes","Yes","No","No","True","Rarely","Often","36-45","M","United States of America","United States of America","Sometimes"
"More than 1000","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Yes","Yes","Yes","No","Sometimes","Maybe","Maybe","No, I don't think they would","Somewhat open","Yes, I experienced","Maybe","No","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United States of America","United States of America","Sometimes"
"26-100","Yes","I am not sure","I don't know","Yes","I don't know","Very easy","No","No","Maybe","Maybe","Yes","No","I don't know","No","Maybe","No, I don't think they would","Neutral","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Never"
"500-1000","Yes","Yes","No","No","I don't know","Very difficult","Maybe","Maybe","Maybe","Maybe","No","No","Not Applicable","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","No Entry","I don't know","Maybe","Yes","Yes","True","Sometimes","Often",">25","M","United States of America","United States of America","Never"
"100-500","I don't know","I am not sure","No","Yes","I don't know","Very difficult","Yes","Yes","No","Maybe","No","Yes","Yes, always","Maybe","Yes, I think it would","Yes, I think they would","Not open at all","Maybe/Not sure","Maybe","I don't know","Maybe","Maybe","No","True","Not applicable to me","Sometimes","36-45","M","United States of America","United States of America","Never"
"More than 1000","Yes","I am not sure","I don't know","I don't know","I don't know","Neither easy nor difficult","No","No","Yes","No","I don't know","No","I don't know","Maybe","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","No","No","Yes","Yes","True","Never","Sometimes","25-35","M","United States of America","United States of America","Always"
"26-100","Yes","No","Yes","I don't know","Yes","Very difficult","Maybe","Maybe","Maybe","No","I don't know","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","Maybe/Not sure","No","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","I don't know","Yes","I don't know","Somewhat easy","No","No","No","Maybe","I don't know","No","No","No","Yes, I think it would","Maybe","Not open at all","Yes, I observed","No Entry","Yes","Maybe","No","No","True","Not applicable to me","Sometimes","25-35","M","United States of America","United States of America","Always"
"100-500","Yes","Yes","No","No","I don't know","I don't know","No","No","Maybe","Maybe","I don't know","No","I don't know","No","No, I don't think it would","No, I don't think they would","Not applicable to me (I do not have a mental illness)","No","No Entry","No","Yes","No","Yes","True","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"6-25","Yes","Yes","No","No","I don't know","Very difficult","Yes","Maybe","No","No","No","No","I don't know","No","Yes, it has","Yes, I think they would","Somewhat open","No","No Entry","Yes","Yes","Maybe","Yes","True","Rarely","Sometimes",">25","F","United States of America","United States of America","Never"
"100-500","No","No Entry","No","Yes","I don't know","Neither easy nor difficult","Yes","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat not open","Yes, I experienced","No Entry","I don't know","Yes","Yes","Yes","True","Sometimes","Not applicable to me","36-45","M","Australia","Australia","Sometimes"
"100-500","I don't know","No","No","I don't know","I don't know","Somewhat difficult","Yes","Maybe","No","No","I don't know","No","I don't know","No","Maybe","Yes, I think they would","Somewhat not open","Maybe/Not sure","No","Yes","Yes","Yes","No","False","Sometimes","Sometimes","25-35","M","United States of America","United States of America","Never"
"100-500","Yes","No","No","No","I don't know","Very easy","Maybe","No","Maybe","Maybe","No","Yes","Yes, always","No","Yes, it has","Maybe","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","F","United States of America","United States of America","Always"
"500-1000","I don't know","I am not sure","No","Yes","I don't know","Neither easy nor difficult","No","No","No","Yes","Yes","No","I don't know","Yes","Maybe","Maybe","Somewhat open","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"6-25","No","No","No","No","No","Somewhat difficult","Yes","Maybe","No","No","No","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I observed","Yes","Yes","Yes","Yes","Yes","True","Rarely","Often","45<","M","United States of America","United States of America","Sometimes"
"500-1000","I don't know","No","No","No","I don't know","Somewhat easy","No","No","No","Maybe","I don't know","No","I don't know","Maybe","Maybe","Maybe","Neutral","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Germany","Germany","Sometimes"
"6-25","No","No","No","No","No","I don't know","Maybe","Maybe","No","No","No","Yes","I don't know","Maybe","Yes, I think it would","Maybe","Not applicable to me (I do not have a mental illness)","Yes, I observed","Yes","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Netherlands","Netherlands","Never"
"26-100","I don't know","I am not sure","No","I don't know","I don't know","I don't know","No","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure","Maybe","I don't know","Yes","Maybe","Yes","True","Rarely","Sometimes","25-35","O","United Kingdom","United Kingdom","Sometimes"
"26-100","I don't know","No","Yes","I don't know","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","Not Applicable","No","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Maybe","Maybe","No","False","Rarely","Sometimes","25-35","M","United Kingdom","United Kingdom","Never"
"100-500","I don't know","No","No","No","I don't know","I don't know","Yes","Yes","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","Yes","Yes","Maybe","Yes","True","Never","Never","36-45","F","United States of America","United States of America","Sometimes"
"100-500","No","No","No","No","I don't know","Very easy","No","No","Maybe","Maybe","I don't know","No","I don't know","No","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United Kingdom","United Kingdom","Sometimes"
"More than 1000","Yes","I am not sure","No","No","Yes","Very easy","No","No","Maybe","Maybe","Yes","No","Yes, always","Maybe","Maybe","Maybe","Very open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Rarely","Sometimes","45<","F","Australia","Australia","Sometimes"
"100-500","Yes","I am not sure","Yes","Yes","I don't know","Very easy","No","No","Yes","Yes","Yes","No","No","Yes","Maybe","No, I don't think they would","Very open","Yes, I experienced","No","Yes","Maybe","No","Yes","True","Not applicable to me","Not applicable to me","25-35","F","Switzerland","Switzerland","Sometimes"
"More than 1000","I don't know","No Entry","No","No","I don't know","Neither easy nor difficult","No","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Neutral","Yes, I observed","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","United Kingdom","United Kingdom","Sometimes"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","No","Somewhat difficult","No","No","No","Yes","I don't know","No","I don't know","Maybe","Maybe","No, I don't think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure","Maybe","I don't know","Yes","Maybe","No","True","Not applicable to me","Not applicable to me","25-35","F","United Kingdom","United Kingdom","Never"
"500-1000","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Yes, I think it would","Maybe","Very open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United Kingdom","United Kingdom","Always"
"More than 1000","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Somewhat easy","Maybe","No","Yes","Yes","No","No","I don't know","Maybe","No, I don't think it would","No, they do not","Somewhat open","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Sometimes","Sometimes",">25","O","United Kingdom","United Kingdom","Sometimes"
"1-5","No","I am not sure","No","No","I don't know","Very difficult","Maybe","Maybe","Maybe","Maybe","No","Yes","Not Applicable","Maybe","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Yes","No","Maybe","No","Yes","False","Sometimes","Sometimes","45<","M","Australia","Australia","Sometimes"
"100-500","I don't know","I am not sure","No","I don't know","Yes","I don't know","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","Maybe","Maybe","Maybe","Not applicable to me (I do not have a mental illness)","Maybe/Not sure","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Spain","United States of America","Always"
"1-5","No","No","I don't know","No","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","Yes","No","Yes, always","Maybe","Yes, I think it would","No, I don't think they would","Somewhat not open","No","No Entry","Yes","Yes","No","Yes","True","Sometimes","Often",">25","M","United Kingdom","United Kingdom","Never"
"500-1000","I don't know","No","No","I don't know","I don't know","Very easy","No","No","Maybe","Maybe","Yes","No","I don't know","No","Yes, I think it would","Maybe","Very open","Maybe/Not sure","No","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","Russia","Russia","Sometimes"
"6-25","I don't know","No","No","Yes","I don't know","Neither easy nor difficult","Maybe","No","No","Maybe","Yes","No","Sometimes","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United Kingdom","United Kingdom","Never"
"100-500","Yes","I am not sure","Yes","No","I don't know","Very easy","No","No","Maybe","Maybe","Yes","No","Sometimes","No","Maybe","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United Kingdom","United Kingdom","Sometimes"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Neither easy nor difficult","Maybe","Maybe","Maybe","Maybe","Yes","No","No","No","Maybe","No, I don't think they would","Not open at all","No","No Entry","Yes","Yes","Yes","Yes","True","Never","Rarely","25-35","M","United States of America","United States of America","Always"
"26-100","No","I am not sure","Yes","No","Yes","Very easy","No","No","Maybe","Yes","Yes","No","Yes, always","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","No","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Norway","Norway","Sometimes"
"26-100","I don't know","No","No","No","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Maybe","No, I don't think they would","Very open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"26-100","Yes","I am not sure","No","I don't know","I don't know","Somewhat difficult","Maybe","No","Maybe","Maybe","Yes","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","Yes","Yes","No","Yes","True","Never","Sometimes","45<","M","United States of America","United States of America","Sometimes"
"6-25","I don't know","I am not sure","No","No","Yes","Very easy","No","No","Maybe","Yes","I don't know","No","Not Applicable","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Rarely","25-35","M","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","No","No","I don't know","I don't know","Maybe","Maybe","Yes","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Yes","No","Yes","True","Sometimes","Often","45<","M","United States of America","United States of America","Never"
"6-25","I don't know","I am not sure","No","I don't know","I don't know","Very difficult","Maybe","Maybe","Maybe","No","I don't know","Yes","Yes, always","No","Yes, I think it would","Maybe","Somewhat open","Maybe/Not sure","Maybe","No","No","No","No","True","Not applicable to me","Not applicable to me","25-35","F","Canada","Canada","Never"
"26-100","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","Yes, I experienced","Yes","Yes","No","Yes","Yes","True","Sometimes","Often",">25","F","Canada","Canada","Never"
"6-25","Yes","I am not sure","No","I don't know","I don't know","Somewhat difficult","Maybe","No","Yes","Yes","Yes","No","Yes, always","No","Yes, I think it would","Maybe","Very open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","36-45","F","Canada","Canada","Sometimes"
"6-25","Yes","Yes","No","No","I don't know","Neither easy nor difficult","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Maybe","No, I don't think they would","Very open","Yes, I observed","No","Yes","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","F","Canada","Canada","Sometimes"
"26-100","I don't know","I am not sure","No","I don't know","I don't know","I don't know","No","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat not open","Maybe/Not sure","No Entry","Yes","Maybe","Maybe","No","False","Sometimes","Sometimes","25-35","F","Canada","Canada","Never"
"6-25","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Maybe","Yes","Yes","No","Sometimes","Maybe","Yes, I think it would","Maybe","Somewhat open","Yes, I observed","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","45<","F","Canada","Canada","Sometimes"
"6-25","Yes","No","Yes","No","I don't know","Neither easy nor difficult","No","No","Maybe","Maybe","Yes","No","I don't know","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","Maybe","No","Yes","Yes","Yes","True","Often","Often","25-35","M","Canada","Canada","Never"
"100-500","Not eligible for coverage / N/A","No","No","I don't know","I don't know","Somewhat difficult","Maybe","No","No","No","I don't know","No","No","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure","No","Yes","No","No","No","True","Not applicable to me","Not applicable to me","25-35","M","Argentina","Argentina","Always"
"26-100","No","No Entry","No","No","I don't know","Somewhat difficult","Yes","Maybe","No","No","I don't know","No","Not Applicable","Maybe","Yes, I think it would","Yes, I think they would","Neutral","No Entry","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","India","India","Never"
"26-100","I don't know","No","No","I don't know","I don't know","Somewhat difficult","Yes","No","Maybe","Yes","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United States of America","United States of America","Sometimes"
"26-100","Yes","I am not sure","No","Yes","I don't know","Very easy","No","No","Yes","Yes","Yes","No","I don't know","No","Maybe","Maybe","Somewhat not open","Yes, I experienced","No Entry","I don't know","Yes","Yes","Yes","True","Rarely","Often","36-45","F","United States of America","United States of America","Sometimes"
"26-100","Yes","No","No","No","I don't know","Very difficult","Yes","Maybe","Maybe","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","No","No Entry","I don't know","Maybe","Maybe","No","True","Not applicable to me","Often","25-35","M","Canada","Canada","Never"
"500-1000","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Maybe","No","Yes","Maybe","Yes","No","Not Applicable","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","Yes","Maybe","Maybe","No","True","Sometimes","Often","25-35","M","United Kingdom","United Kingdom","Always"
"6-25","Not eligible for coverage / N/A","No Entry","Yes","No","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Maybe","Maybe","Very open","Maybe/Not sure","No","Yes","Yes","Maybe","Yes","True","Sometimes","Often","25-35","M","United Kingdom","United States of America","Always"
"More than 1000","Yes","I am not sure","No","No","I don't know","Somewhat easy","No","No","Maybe","Yes","No","No","Sometimes","Yes","No, I don't think it would","Maybe","Somewhat not open","Yes, I observed","Maybe","Yes","Maybe","Maybe","No","False","Rarely","Often","36-45","M","United States of America","United States of America","Always"
"26-100","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","Not Applicable","Maybe","No, it has not","No, they do not","Somewhat open","No Entry","No Entry","No","Yes","Yes","Yes","True","Sometimes","Often",">25","F","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","Yes","Yes","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Maybe","No, they do not","Somewhat open","Yes, I experienced","No","Yes","Yes","Yes","Yes","False","Rarely","Often","25-35","F","United States of America","United States of America","Sometimes"
"1-5","Yes","Yes","No","Yes","I don't know","Very easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","No, it has not","No, I don't think they would","Very open","No","No Entry","No","Yes","Yes","Yes","True","Rarely","Sometimes","25-35","M","Netherlands","Netherlands","Sometimes"
"26-100","No","Yes","No","No","I don't know","Somewhat difficult","No","No","Maybe","Maybe","I don't know","No","I don't know","Yes","Maybe","Maybe","Somewhat open","Yes, I observed","Maybe","No","Yes","Yes","Yes","True","Sometimes","Often","36-45","M","United States of America","United States of America","Sometimes"
"6-25","No","No Entry","No","No","I don't know","Very easy","No","No","Yes","Yes","Yes","No","I don't know","No","No, I don't think it would","No, I don't think they would","Somewhat open","Yes, I experienced","No","No","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Ireland","Ireland","Never"
"100-500","I don't know","No","No","No","I don't know","Very easy","No","No","No","No","I don't know","No","I don't know","No","No, I don't think it would","No, I don't think they would","Somewhat not open","Maybe/Not sure","No","No","No","Maybe","No","True","Not applicable to me","Sometimes","25-35","M","Germany","Germany","Never"
"100-500","Yes","Yes","I don't know","Yes","Yes","Very easy","No","No","Maybe","Yes","Yes","No","I don't know","Yes","Maybe","No, I don't think they would","Somewhat open","Maybe/Not sure","No","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Always"
"More than 1000","I don't know","No","No","No","I don't know","Somewhat difficult","Maybe","No","No","Yes","No","No","I don't know","No","Yes, it has","Maybe","Somewhat not open","Yes, I experienced","Yes","I don't know","Yes","Yes","Yes","True","Never","Sometimes","36-45","F","United States of America","United States of America","Always"
"More than 1000","No","No","No","No","No","Somewhat easy","Maybe","No","No","No","I don't know","No","Not Applicable","Maybe","Yes, I think it would","Maybe","Somewhat open","No Entry","No Entry","I don't know","No","Maybe","No","False","Not applicable to me","Not applicable to me",">25","M","Italy","Italy","Never"
"6-25","I don't know","No","No","I don't know","I don't know","Neither easy nor difficult","Maybe","No","Maybe","Maybe","I don't know","No","Sometimes","Maybe","Maybe","No, I don't think they would","Somewhat open","No","No Entry","I don't know","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Never"
