B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,WW,YY,ZZ,AAA,BBB,CCC,DDD,EEE,FFF,GGG,HHH,III,JJJ,LLL
100-500,1.0,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,I was aware of some,Some did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,1,Not applicable to me,Sometimes,36,M,United States of America,Illinois,United States of America,New York,Back-end Developer,Always
26-100,1.0,I don't know,No,Yes,No,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,"Yes, they all did",Some did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No Entry,I don't know,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,29,M,United States of America,Oregon,United States of America,Oregon,Back-end Developer,Always
100-500,1.0,Yes,No,No,I don't know,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Not open at all,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,37,M,United States of America,California,United States of America,California,Other,Never
26-100,1.0,No,I am not sure,No,I don't know,Yes,Very difficult,Yes,Maybe,Maybe,Maybe,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,No,"Yes, it has","No, I don't think they would",Neutral,Maybe/Not sure,No Entry,I don't know,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Substance Use Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Substance Use Disorder",1,Sometimes,Often,31,M,United States of America,California,United States of America,California,Dev Evangelist/Advocate|Support,Sometimes
More than 1000,0.0,I don't know,No,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers",I don't know,None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No Entry,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,42,M,Canada,No Entry,Canada,No Entry,Supervisor/Team Lead|Front-end Developer|Back-end Developer|DevOps/SysAdmin,Always
500-1000,1.0,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,No,No,No,No,1,Some did,"No, I only became aware later",Some did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,No,"Yes, I think it would",Maybe,Neutral,No,No Entry,No,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,25,M,United States of America,Indiana,United States of America,Indiana,Support,Sometimes
6-25,1.0,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,No,"Yes, I think it would",Maybe,Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Stress Response Syndromes",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Sometimes,Often,27,M,United States of America,California,United States of America,California,Executive Leadership,Sometimes
More than 1000,0.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Maybe,Yes,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Maybe,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,41,F,United States of America,Ohio,United States of America,Ohio,Back-end Developer,Never
100-500,1.0,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,No,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No Entry,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Anxiety Disorder (Generalized, Social, Phobia, etc)",No,N/A,0,Rarely,Often,41,F,United States of America,California,United States of America,California,Executive Leadership,Sometimes
More than 1000,0.0,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,Maybe,No,No,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),No,No Entry,I don't know,No,No,N/A,No,N/A,1,Not applicable to me,Not applicable to me,55,F,United States of America,California,United States of America,California,HR,Never
More than 1000,1.0,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Maybe,Maybe,No,No,1,"No, none did",I was aware of some,I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Maybe,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,No,Yes,Yes,None,No,N/A,0,Not applicable to me,Not applicable to me,21,M,United States of America,California,United States of America,California,Dev Evangelist/Advocate,Never
More than 1000,0.0,I don't know,I am not sure,Yes,No,I don't know,Very easy,Maybe,Maybe,No,Maybe,Yes,No,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,37,M,Netherlands,No Entry,Netherlands,No Entry,Supervisor/Team Lead,Never
More than 1000,0.0,I don't know,No,No,I don't know,Yes,Very easy,Maybe,Maybe,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No Entry,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,34,F,Netherlands,No Entry,Netherlands,No Entry,Front-end Developer,Sometimes
More than 1000,0.0,Yes,Yes,No,Yes,I don't know,I don't know,Maybe,No,No,No,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,Maybe,Somewhat not open,No,No Entry,I don't know,No,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder|Stress Response Syndromes",No,N/A,0,Not applicable to me,Sometimes,40,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer,Never
More than 1000,0.0,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,No,No,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Not applicable to me,Sometimes,36,M,Germany,No Entry,Germany,No Entry,Other,Sometimes
26-100,1.0,No,I am not sure,No,No,No,Somewhat easy,Maybe,Maybe,Yes,Maybe,No,No,1,Some did,I was aware of some,None did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,No,No,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Sometimes,Sometimes,25,M,Germany,No Entry,Germany,No Entry,Front-end Developer,Never
100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,35,M,United States of America,Florida,United States of America,Florida,Front-end Developer|Back-end Developer,Always
6-25,1.0,No,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No,1,Some did,I was aware of some,None did,Some did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Maybe,No,N/A,No,N/A,1,Not applicable to me,Not applicable to me,37,M,United States of America,North Carolina,United States of America,North Carolina,Back-end Developer,Always
More than 1000,0.0,Yes,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,No,No,1,Some did,"No, I only became aware later",None did,Some did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No Entry,I don't know,Maybe,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Addictive Disorder",No,N/A,0,Not applicable to me,Sometimes,45,M,United States of America,Ohio,United States of America,Ohio,Back-end Developer|Front-end Developer,Sometimes
6-25,1.0,No,No Entry,No,No,No,Neither easy nor difficult,Maybe,Maybe,Yes,Yes,No,No,1,"No, none did",I was aware of some,None did,None did,Sometimes,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,No,No,"Yes, it has",Maybe,Not open at all,Maybe/Not sure,No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Obsessive-Compulsive Disorder|Stress Response Syndromes|Dissociative Disorder|Substance Use Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Stress Response Syndromes",1,Sometimes,Often,26,M,United States of America,Oregon,United States of America,Oregon,Front-end Developer,Never
26-100,1.0,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,23,M,United States of America,Illinois,United States of America,Illinois,Front-end Developer,Sometimes
26-100,1.0,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,No,No,No,No,1,Some did,"No, I only became aware later",None did,None did,Sometimes,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,22,F,United States of America,Oregon,United States of America,Oregon,Front-end Developer,Sometimes
26-100,1.0,I don't know,I am not sure,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Maybe,"Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Often,46,F,United States of America,Illinois,United States of America,Illinois,Back-end Developer,Always
6-25,1.0,No,No Entry,Yes,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did","No, I only became aware later",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,None did,Some of them,Yes,Yes,Maybe,Maybe,Neutral,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,31,M,United Kingdom,No Entry,United Kingdom,No Entry,Other,Sometimes
100-500,1.0,Yes,I am not sure,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,Maybe,"No, it has not","No, they do not",Very open,No,No Entry,Yes,Maybe,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,27,M,United States of America,Virginia,United States of America,California,Dev Evangelist/Advocate|Back-end Developer|Support,Always
6-25,1.0,No,No Entry,No,Yes,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,I don't know,None did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Very open,No,No Entry,I don't know,Maybe,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,37,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer|DevOps/SysAdmin,Sometimes
100-500,1.0,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,37,M,United Kingdom,No Entry,United Kingdom,No Entry,DevOps/SysAdmin,Never
1-5,1.0,Not eligible for coverage / N/A,No Entry,Yes,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,"Yes, always",Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",Yes,No,Yes,Maybe,Other,Yes,Other,1,Never,Often,26,F,Netherlands,No Entry,Netherlands,No Entry,Executive Leadership|DevOps/SysAdmin|Back-end Developer|Support,Sometimes
500-1000,1.0,No,No,No,No,Yes,Very easy,No,No,Maybe,Yes,I don't know,No,1,"Yes, they all did",I was aware of some,None did,None did,I don't know,None of them,None of them,0,Some of my previous employers,I don't know,None of them,No,No,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No Entry,Yes,No,No,N/A,No,N/A,1,Rarely,Sometimes,23,M,Netherlands,No Entry,Netherlands,No Entry,Back-end Developer,Never
26-100,1.0,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Maybe,Maybe,Yes,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,Maybe,"Yes, I think it would",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",1,Rarely,Often,40,M,United States of America,Ohio,United States of America,Ohio,DevOps/SysAdmin|Support|Back-end Developer|Front-end Developer,Never
1-5,1.0,No,No,No,No,No,Somewhat easy,No,No,Maybe,Yes,No,No,1,I don't know,N/A (not currently aware),None did,None did,Sometimes,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,29,M,Denmark,No Entry,Denmark,No Entry,Back-end Developer|DevOps/SysAdmin,Sometimes
100-500,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),I don't know,"Yes, they all did",I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,"No, I don't think it would","No, they do not",Somewhat open,No,No Entry,I don't know,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,37,M,United States of America,Oregon,United States of America,California,Dev Evangelist/Advocate|Back-end Developer|Front-end Developer,Sometimes
100-500,1.0,Yes,Yes,I don't know,Yes,Yes,Somewhat difficult,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,Yes,Maybe,No,N/A,No,N/A,1,Not applicable to me,Not applicable to me,34,F,United States of America,California,United States of America,California,Other|HR,Never
More than 1000,1.0,Yes,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,None of them,Maybe,Maybe,"No, I don't think it would",Maybe,Very open,No,No Entry,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Rarely,Often,40,M,United States of America,Iowa,United States of America,Iowa,Support|Back-end Developer,Sometimes
500-1000,1.0,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Very open,Maybe/Not sure,Yes,No,Yes,Maybe,Substance Use Disorder,Yes,Substance Use Disorder,1,Never,Sometimes,39,M,United States of America,California,United States of America,California,Supervisor/Team Lead|Back-end Developer,Sometimes
500-1000,1.0,Yes,I am not sure,I don't know,Yes,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,1,I don't know,N/A (not currently aware),I don't know,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)",1,Rarely,Sometimes,28,M,United States of America,Washington,United States of America,Washington,Back-end Developer,Always
26-100,1.0,No,No,No,No,I don't know,Neither easy nor difficult,No,No,No,No,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat not open,No,No Entry,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,27,M,Germany,No Entry,Germany,No Entry,Back-end Developer,Sometimes
More than 1000,1.0,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Sometimes,Often,49,F,United States of America,Connecticut,United States of America,Connecticut,DevOps/SysAdmin|Support,Sometimes
26-100,1.0,No,I am not sure,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,"Yes, I think it would",Maybe,Very open,No,No Entry,I don't know,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,35,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer,Never
100-500,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did","No, I only became aware later",None did,None did,No,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Maybe,"No, they do not",Very open,"Yes, I observed",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Sometimes,Often,35,M,Sweden,No Entry,Sweden,No Entry,Supervisor/Team Lead|Back-end Developer,Sometimes
500-1000,1.0,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,No,Yes,Maybe,Yes,No,1,"Yes, they all did",I was aware of some,None did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Yes,No,Maybe,Maybe,Neutral,Maybe/Not sure,No,Yes,Yes,No,N/A,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,32,M,United States of America,California,United States of America,California,Executive Leadership|Supervisor/Team Lead,Sometimes
More than 1000,1.0,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No Entry,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder",1,Sometimes,Often,42,M,United States of America,Ohio,United States of America,Ohio,Supervisor/Team Lead|Back-end Developer,Sometimes
100-500,1.0,Yes,Yes,No,Yes,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,No,1,Some did,I was aware of some,None did,Some did,I don't know,Some of them,"Yes, all of them",Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)",No,N/A,1,Sometimes,Often,33,F,United States of America,Texas,United States of America,Texas,Support,Always
26-100,1.0,I don't know,No Entry,No,I don't know,Yes,Very easy,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),Some did,None did,I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Very open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,35,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer|DevOps/SysAdmin|Supervisor/Team Lead,Always
500-1000,1.0,I don't know,No,No,I don't know,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,No,Maybe,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,0,Not applicable to me,Not applicable to me,24,M,Russia,No Entry,Russia,No Entry,Front-end Developer|Back-end Developer,Sometimes
500-1000,1.0,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,No,Yes,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,Yes,Maybe,"No, they do not",Very open,"Yes, I observed",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Eating Disorder (Anorexia, Bulimia, etc)|Obsessive-Compulsive Disorder",1,Sometimes,Sometimes,29,F,United States of America,California,United States of America,California,Other,Sometimes
100-500,1.0,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No Entry,No,Yes,Maybe,"Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder|Stress Response Syndromes|Addictive Disorder",No,N/A,1,Sometimes,Sometimes,29,M,United States of America,Minnesota,United States of America,Minnesota,Supervisor/Team Lead|Back-end Developer|Front-end Developer,Always
6-25,1.0,Not eligible for coverage / N/A,No Entry,No,No,No,Somewhat easy,No,No,Maybe,Maybe,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat not open,No Entry,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,24,M,United Kingdom,No Entry,United Kingdom,No Entry,Supervisor/Team Lead,Sometimes
